               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046888,            0.070866,            0.048578,             0.58465,             0.41145,             0.42613,             0.25752,            0.044776,            0.052655,            0.025497,           0.0033329,           0.0033329,            0.070004
                   1,            0.049914,            0.072012,            0.033921,             0.54868,             0.41206,             0.41779,             0.24985,            0.045612,            0.052996,             0.02469,           0.0066516,           0.0066516,             0.03999
                   2,            0.052718,            0.074122,            0.036469,             0.54034,             0.39692,             0.40234,             0.23828,            0.046265,            0.053567,            0.025156,           0.0099121,           0.0099121,           0.0099167
                   3,            0.052834,            0.074364,            0.036037,             0.54715,             0.40807,             0.41525,             0.24915,             0.04571,            0.053062,            0.023962,           0.0098042,           0.0098042,           0.0098042
                   4,            0.051656,            0.073513,            0.033866,             0.55823,             0.41622,             0.42954,             0.25784,            0.045208,            0.052671,            0.023068,           0.0098042,           0.0098042,           0.0098042
                   5,            0.051076,            0.072966,            0.032895,             0.55971,             0.42376,             0.43706,              0.2638,            0.044859,            0.052377,            0.022618,           0.0096542,           0.0096542,           0.0096542
                   6,            0.050684,            0.072681,            0.032131,             0.58711,             0.41765,             0.44196,             0.26772,            0.044674,            0.052201,             0.02225,           0.0094641,           0.0094641,           0.0094641
                   7,             0.05034,            0.072269,            0.031642,               0.579,              0.4244,             0.44532,             0.27053,            0.044532,            0.052074,            0.022047,           0.0092361,           0.0092361,           0.0092361
                   8,            0.050168,            0.072305,            0.031245,             0.58718,              0.4246,              0.4477,             0.27245,            0.044408,            0.051967,            0.021872,           0.0089726,           0.0089726,           0.0089726
                   9,             0.04991,            0.071987,            0.030923,             0.58695,             0.42574,             0.44955,             0.27453,            0.044327,            0.051883,            0.021722,           0.0086765,           0.0086765,           0.0086765
                  10,            0.049639,            0.071852,            0.030478,             0.57559,             0.43444,             0.45126,             0.27563,            0.044253,            0.051812,            0.021597,           0.0083511,           0.0083511,           0.0083511
                  11,            0.049499,            0.071862,            0.030141,             0.57492,              0.4376,             0.45259,               0.277,            0.044178,            0.051754,            0.021467,               0.008,               0.008,               0.008
                  12,            0.049287,            0.071445,             0.02986,             0.60244,             0.42574,             0.45481,             0.27855,            0.044112,            0.051701,             0.02135,           0.0076269,           0.0076269,           0.0076269
                  13,            0.049082,            0.071431,            0.029533,             0.60694,             0.42679,             0.45643,             0.27989,            0.044038,            0.051639,            0.021237,           0.0072361,           0.0072361,           0.0072361
                  14,            0.048829,            0.071121,            0.029157,             0.58843,              0.4358,               0.459,              0.2816,            0.043965,            0.051582,             0.02113,           0.0068316,           0.0068316,           0.0068316
                  15,            0.048648,            0.071189,            0.028872,             0.62663,             0.42053,             0.46043,               0.283,            0.043892,            0.051521,             0.02102,           0.0064181,           0.0064181,           0.0064181
                  16,            0.048332,            0.070727,            0.028488,             0.62254,             0.42433,             0.46278,              0.2847,            0.043818,            0.051452,            0.020901,               0.006,               0.006,               0.006
                  17,            0.048125,             0.07049,            0.028259,             0.60834,             0.43302,             0.46454,             0.28624,            0.043751,            0.051377,            0.020793,           0.0055819,           0.0055819,           0.0055819
                  18,            0.047916,            0.070589,            0.027809,             0.62404,             0.42859,             0.46707,             0.28762,            0.043681,            0.051304,            0.020684,           0.0051684,           0.0051684,           0.0051684
                  19,            0.047575,             0.07015,            0.027526,             0.58436,             0.45123,             0.47014,             0.28925,            0.043605,             0.05122,            0.020547,           0.0047639,           0.0047639,           0.0047639
                  20,             0.04737,            0.070317,            0.027148,             0.58932,             0.45123,             0.47262,             0.29161,             0.04353,            0.051143,            0.020414,           0.0043731,           0.0043731,           0.0043731
                  21,             0.04706,            0.069735,            0.026728,             0.58995,             0.45401,             0.47552,             0.29353,            0.043456,             0.05107,            0.020274,               0.004,               0.004,               0.004
                  22,            0.046898,            0.069555,            0.026476,             0.58939,             0.45466,             0.47677,             0.29518,            0.043384,            0.050996,            0.020156,           0.0036489,           0.0036489,           0.0036489
                  23,            0.046585,            0.069459,            0.026015,             0.59255,             0.45584,             0.47913,             0.29683,            0.043318,            0.050934,            0.020038,           0.0033235,           0.0033235,           0.0033235
                  24,            0.046376,             0.06905,            0.025691,             0.59733,             0.45487,             0.48116,             0.29811,             0.04325,            0.050857,            0.019929,           0.0030274,           0.0030274,           0.0030274
                  25,            0.046063,            0.068925,            0.025331,             0.59163,             0.46107,             0.48396,              0.3003,            0.043177,             0.05079,            0.019817,           0.0027639,           0.0027639,           0.0027639
                  26,            0.045835,            0.068642,            0.025018,             0.61602,             0.45164,             0.48568,             0.30155,            0.043113,            0.050728,            0.019705,           0.0025359,           0.0025359,           0.0025359
                  27,            0.045688,            0.068625,            0.024928,             0.62655,             0.44864,             0.48713,             0.30291,            0.043048,            0.050663,            0.019613,           0.0023458,           0.0023458,           0.0023458
                  28,            0.045554,            0.068604,            0.024659,             0.62609,             0.44888,             0.48881,             0.30468,            0.042987,            0.050607,            0.019519,           0.0021958,           0.0021958,           0.0021958
                  29,            0.045445,            0.068638,            0.024437,               0.599,             0.46354,             0.49028,             0.30607,            0.042929,            0.050551,            0.019435,           0.0020874,           0.0020874,           0.0020874
